City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,17.01,65,100,1.18,ZA,1681934069
1,tiksi,71.6872,128.8694,-23.03,100,100,1.45,RU,1681933995
2,puno,-15.8333,-70.0333,13.95,33,41,4.59,PE,1681934072
3,waitangi,-43.9535,-176.5597,16.57,92,100,4.02,NZ,1681934073
4,puerto natales,-51.7236,-72.4875,13.25,50,75,14.4,CL,1681934073
5,bilibino,68.0546,166.4372,-4.72,87,100,1.1,RU,1681934074
6,iqaluit,63.7506,-68.5145,-9.15,92,100,0.0,CA,1681934075
7,port isabel,26.0734,-97.2086,29.05,73,100,8.75,US,1681934075
8,adamstown,-25.066,-130.1015,24.9,75,70,3.55,PN,1681934076
9,katra,32.9833,74.95,13.98,79,18,4.12,IN,1681934076
10,antsohihy,-14.8796,47.9875,23.59,93,32,1.32,MG,1681934077
11,albany,42.6001,-73.9662,7.25,64,90,0.45,US,1681933873
12,nogales,31.3086,-110.9422,24.62,11,0,4.12,MX,1681934077
13,port-aux-francais,-49.35,70.2167,5.03,68,52,15.6,TF,1681934078
14,mirny,62.5353,113.9611,-5.98,48,100,5.81,RU,1681933968
15,kailua-kona,19.6406,-155.9956,24.98,94,100,10.8,US,1681933968
16,longyearbyen,78.2186,15.6401,-7.09,63,20,6.69,SJ,1681934078
17,mawu,29.5923,107.3139,19.84,82,92,1.7,CN,1681934079
18,anadyr,64.75,177.4833,-2.72,79,40,3.0,RU,1681934065
19,keflavik,64.0049,-22.5624,10.95,100,100,10.29,IS,1681934080
20,marabba,12.35,32.1833,33.16,7,0,7.09,SD,1681934080
21,scarborough,54.2797,-0.4044,7.1,88,4,2.24,GB,1681934080
22,zeya,53.75,127.2667,-3.32,77,100,2.48,RU,1681934081
23,as sulayyil,20.4607,45.5779,23.14,71,80,11.31,SA,1681934081
24,blackmans bay,-43.0167,147.3167,9.29,76,93,3.84,AU,1681933959
25,waynesboro,38.0685,-78.8895,27.59,33,0,4.63,US,1681934082
26,east london,-33.0153,27.9116,26.86,32,10,4.31,ZA,1681934082
27,ribeira grande,38.5167,-28.7,14.32,67,40,6.17,PT,1681933970
28,lamas,-6.4167,-76.5333,30.26,83,100,1.08,PE,1681934082
29,bamyan,34.75,67.25,0.83,79,22,1.76,AF,1681934083
30,puerto ayora,-0.7393,-90.3518,29.98,100,100,5.81,EC,1681933992
31,carboneras,37.0015,-1.9213,18.28,74,100,5.03,ES,1681934083
32,tazovsky,67.4667,78.7,-11.2,98,99,2.02,RU,1681934084
33,yelm,46.942,-122.606,11.05,69,100,3.6,US,1681934086
34,port alfred,-33.5906,26.891,26.09,40,78,4.17,ZA,1681934086
35,nova vicosa,-17.8919,-39.3719,28.46,81,17,6.07,BR,1681934087
36,farasan,16.7022,42.1183,28.71,79,0,2.81,SA,1681934088
37,lorengau,-2.0226,147.2712,26.79,78,32,2.22,PG,1681934088
38,papao,-17.75,-149.55,30.82,78,100,8.22,PF,1681934088
39,hammerfest,70.6634,23.6821,5.25,93,75,12.35,NO,1681934088
40,porto velho,-8.7619,-63.9039,32.03,62,20,2.06,BR,1681933811
41,raja,8.4596,25.678,30.13,39,96,1.39,SS,1681934089
42,liuhe,42.2401,125.7172,14.74,37,100,6.37,CN,1681934089
43,arraial do cabo,-22.9661,-42.0278,24.98,88,75,5.14,BR,1681934089
44,wailua homesteads,22.0669,-159.378,25.97,68,20,3.6,US,1681933957
45,silver springs,29.1044,-82.0206,30.06,46,89,1.79,US,1681934090
46,minas de marcona,-15.2119,-75.1103,21.21,58,4,6.24,PE,1681934090
47,picui,-6.5106,-36.3469,27.45,61,96,3.99,BR,1681934091
48,port mathurin,-19.6833,63.4167,26.03,77,23,8.55,MU,1681934008
49,margaret river,-33.95,115.0667,12.69,62,0,3.47,AU,1681933948
50,hateg,45.6167,22.95,7.88,90,38,0.94,RO,1681934092
51,dolisie,-4.1997,12.6739,23.89,89,99,0.65,CG,1681934092
52,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,75,75,4.0,RU,1681934092
53,saipan,15.1355,145.701,26.39,100,40,5.66,MP,1681934093
54,nacala,-14.5428,40.6728,23.28,89,36,2.75,MZ,1681934093
55,batamshinskiy,50.5594,58.2747,6.28,60,100,2.42,KZ,1681934093
56,yellowknife,62.456,-114.3525,3.29,48,0,4.12,CA,1681933828
57,bikenibeu village,1.3673,173.1241,27.98,83,20,1.54,KI,1681934094
58,grytviken,-54.2811,-36.5092,3.33,95,100,1.85,GS,1681933975
59,machico,32.7,-16.7667,19.84,75,40,2.57,PT,1681934095
60,avarua,-21.2078,-159.775,24.03,100,75,3.6,CK,1681933965
61,st. john's,47.5649,-52.7093,3.21,88,100,6.17,CA,1681933934
62,oranjemund,-28.55,16.4333,15.06,86,74,2.56,NA,1681934096
63,ambodifotatra,-16.9833,49.85,26.41,81,2,5.5,MG,1681934097
64,placido de castro,-10.3353,-67.1856,27.91,88,100,0.58,BR,1681934097
65,margate,51.3813,1.3862,9.94,76,0,4.02,GB,1681934097
66,taourirt,34.4073,-2.8973,14.84,78,98,4.71,MA,1681934097
67,mccook,40.2019,-100.6257,22.25,18,0,7.2,US,1681934098
